,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,D2,1.0,0.3333333333333333,0.5,10,3,1,0,2,131,134
1,LI1,0.7580645161290323,0.6911764705882353,0.7230769230769231,348,68,47,15,21,51,134
2,CM,0.7313432835820896,0.8448275862068966,0.784,295,58,49,18,9,58,134
3,L2,0.6,0.24,0.34285714285714286,82,25,6,4,19,105,134
4,I1,0.4166666666666667,0.2702702702702703,0.3278688524590164,177,37,10,14,27,83,134
5,W1,0.3333333333333333,1.0,0.5,4,1,1,2,0,131,134
6,SP1,0.3333333333333333,0.11764705882352941,0.1739130434782609,89,17,2,4,15,113,134
7,F1,0.2857142857142857,0.11428571428571428,0.16326530612244897,149,35,4,10,31,89,134
8,LI2,0.2631578947368421,0.29411764705882354,0.27777777777777773,72,17,5,14,12,103,134
9,main,0.05077003562898475,0.04199632344695487,0.040782355330877096,0,0,0,0,0,0,0
10,OTHER,0.0,0.0,0.0,27,7,0,3,7,124,134
11,O1,0.0,0.0,0.0,1,1,0,0,1,133,134
12,NB5,0.0,0.0,0.0,4,1,0,0,1,133,134
13,NB4,0.0,0.0,0.0,1,0,0,0,0,134,134
14,NB3,0.0,0.0,0.0,3,1,0,0,1,133,134
15,NB1,0.0,0.0,0.0,21,1,0,0,1,133,134
16,MM8,0.0,0.0,0.0,8,1,0,0,1,133,134
17,N1,0.0,0.0,0.0,1,0,0,0,0,134,134
18,MM9,0.0,0.0,0.0,15,2,0,0,2,132,134
19,PB6,0.0,0.0,0.0,6,3,0,0,3,131,134
20,MM7,0.0,0.0,0.0,24,4,0,0,4,130,134
21,MM6,0.0,0.0,0.0,20,4,0,0,4,130,134
22,MM5,0.0,0.0,0.0,18,5,0,0,5,129,134
23,MM4,0.0,0.0,0.0,14,5,0,0,5,129,134
24,MM3,0.0,0.0,0.0,8,3,0,0,3,131,134
25,MM2,0.0,0.0,0.0,6,2,0,0,2,132,134
26,PB1,0.0,0.0,0.0,6,2,0,0,2,132,134
27,R4,0.0,0.0,0.0,1,0,0,0,0,134,134
28,PN1,0.0,0.0,0.0,1,0,0,0,0,134,134
29,PN6,0.0,0.0,0.0,1,0,0,0,0,134,134
30,W2,0.0,0.0,0.0,3,1,0,0,1,133,134
31,T3,0.0,0.0,0.0,20,6,0,0,6,128,134
32,T2,0.0,0.0,0.0,4,0,0,0,0,134,134
33,T1,0.0,0.0,0.0,16,5,0,0,5,129,134
34,SS9,0.0,0.0,0.0,4,0,0,0,0,134,134
35,SS8,0.0,0.0,0.0,2,0,0,0,0,134,134
36,SS6,0.0,0.0,0.0,1,0,0,0,0,134,134
37,SS4,0.0,0.0,0.0,1,1,0,0,1,133,134
38,SS2,0.0,0.0,0.0,2,0,0,0,0,134,134
39,SS1,0.0,0.0,0.0,3,1,0,0,1,133,134
40,SP4,0.0,0.0,0.0,8,1,0,1,1,132,134
41,SP3,0.0,0.0,0.0,1,0,0,0,0,134,134
42,SP2,0.0,0.0,0.0,10,3,0,0,3,131,134
43,SA1,0.0,0.0,0.0,2,1,0,0,1,133,134
44,S2,0.0,0.0,0.0,1,0,0,0,0,134,134
45,RD7,0.0,0.0,0.0,1,0,0,0,0,134,134
46,RD2,0.0,0.0,0.0,1,0,0,0,0,134,134
47,RD1,0.0,0.0,0.0,2,2,0,0,2,132,134
48,LL2,0.0,0.0,0.0,1,0,0,0,0,134,134
49,MM1,0.0,0.0,0.0,32,6,0,1,6,127,134
50,LI1F2,0.0,0.0,0.0,1,0,0,0,0,134,134
51,LL1,0.0,0.0,0.0,5,1,0,0,1,133,134
52,CP1,0.0,0.0,0.0,18,1,0,1,1,132,134
53,F4,0.0,0.0,0.0,1,1,0,0,1,133,134
54,F3,0.0,0.0,0.0,9,4,0,0,4,130,134
55,F2,0.0,0.0,0.0,53,9,0,5,9,120,134
56,E1,0.0,0.0,0.0,1,0,0,0,0,134,134
57,D3,0.0,0.0,0.0,4,0,0,0,0,134,134
58,CP5,0.0,0.0,0.0,35,7,0,2,7,125,134
59,CP4,0.0,0.0,0.0,12,4,0,0,4,130,134
60,CP2,0.0,0.0,0.0,12,3,0,0,3,131,134
61,CM1,0.0,0.0,0.0,3,0,0,0,0,134,134
62,FC1,0.0,0.0,0.0,1,0,0,0,0,134,134
63,CC4,0.0,0.0,0.0,4,1,0,0,1,133,134
64,CC3,0.0,0.0,0.0,3,0,0,0,0,134,134
65,CC2,0.0,0.0,0.0,1,0,0,0,0,134,134
66,CC1,0.0,0.0,0.0,4,1,0,0,1,133,134
67,C1,0.0,0.0,0.0,1,0,0,0,0,134,134
68,AR9,0.0,0.0,0.0,1,0,0,0,0,134,134
69,AP3,0.0,0.0,0.0,5,0,0,0,0,134,134
70,AP2,0.0,0.0,0.0,3,1,0,0,1,133,134
71,F6,0.0,0.0,0.0,10,2,0,0,2,132,134
72,FP1,0.0,0.0,0.0,20,5,0,0,5,129,134
73,LITERACY,0.0,0.0,0.0,2,2,0,0,2,132,134
74,I5,0.0,0.0,0.0,17,7,0,0,7,127,134
75,AP1,0.0,0.0,0.0,2,1,0,0,1,133,134
76,L7,0.0,0.0,0.0,1,0,0,0,0,134,134
77,L3,0.0,0.0,0.0,1,1,0,0,1,133,134
78,L12,0.0,0.0,0.0,7,2,0,0,2,132,134
79,L1,0.0,0.0,0.0,23,3,0,0,3,131,134
80,I8,0.0,0.0,0.0,22,4,0,0,4,130,134
81,I7,0.0,0.0,0.0,34,10,0,0,10,124,134
82,I6,0.0,0.0,0.0,40,9,0,2,9,123,134
83,I3,0.0,0.0,0.0,10,4,0,0,4,130,134
84,FP2,0.0,0.0,0.0,15,6,0,1,6,127,134
85,I2,0.0,0.0,0.0,2,1,0,0,1,133,134
86,H3,0.0,0.0,0.0,2,1,0,0,1,133,134
87,H2,0.0,0.0,0.0,5,1,0,0,1,133,134
88,H1,0.0,0.0,0.0,1,0,0,0,0,134,134
89,FP6,0.0,0.0,0.0,14,4,0,0,4,130,134
90,FP5,0.0,0.0,0.0,34,10,0,0,10,124,134
91,FP4,0.0,0.0,0.0,2,0,0,0,0,134,134
92,FP3,0.0,0.0,0.0,4,1,0,1,1,132,134
93,W3,0.0,0.0,0.0,1,0,0,0,0,134,134
