,Unnamed: 0,Label,Precision,Recall,F_Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count,algorithm,label_algorithm
0,0,LI1,0.8138772764746068,0.6433554755613579,0.7160781666611673,348,34.8,22.4,5.1,12.4,26.7,66.6,BR_NB,BR_NB_LI1
1,1,CM,0.7580085210954348,0.9554840273940904,0.8407260454143343,295,29.5,28.0,8.9,1.5,28.2,66.6,BR_NB,BR_NB_CM
2,2,I1,0.3789169194007904,0.5987933067964029,0.4603266957555315,177,17.7,10.6,17.5,7.1,31.4,66.6,BR_NB,BR_NB_I1
3,3,L2,0.3349581529581529,0.7884018759018758,0.4569870832536539,82,8.200000000000001,6.4,13.0,1.8,45.4,66.6,BR_NB,BR_NB_L2
4,4,F1,0.3348636461577638,0.4793951881451882,0.3757997265892003,149,14.9,7.0,15.0,7.9,36.7,66.6,BR_NB,BR_NB_F1
5,5,SP1,0.29636105071399194,0.8065068265068265,0.4281212593712594,89,8.9,7.2,17.4,1.7,40.3,66.6,BR_NB,BR_NB_SP1
6,6,LI2,0.24824172680866044,0.755,0.3694180980310012,72,7.199999999999998,5.3,11.7,1.9,47.7,66.6,BR_NB,BR_NB_LI2
7,7,I7,0.17277978557390322,0.6066666666666666,0.2640768160811236,34,3.4000000000000004,2.2,9.8,1.2,53.4,66.6,BR_NB,BR_NB_I7
8,8,I8,0.16444444444444445,0.2533333333333333,0.15564213564213564,22,2.2,0.5,4.8,1.7,59.6,66.6,BR_NB,BR_NB_I8
9,9,FP5,0.13674639086403792,0.4566666666666666,0.2064614504488646,34,3.4000000000000004,1.8,10.4,1.6,52.8,66.6,BR_NB,BR_NB_FP5
10,10,MM7,0.12955239205239205,0.6166666666666667,0.21086302586302585,24,2.4,1.7,8.9,0.7,55.3,66.6,BR_NB,BR_NB_MM7
11,11,CP5,0.12952058906006275,0.62,0.21031884120725147,35,3.5,2.2,14.0,1.3,49.1,66.6,BR_NB,BR_NB_CP5
12,12,I6,0.12886788048552755,0.5252380952380953,0.19602827255304034,40,4.0,1.9,12.3,2.1,50.3,66.6,BR_NB,BR_NB_I6
13,13,F2,0.122103890261785,0.455952380952381,0.17542244390070474,53,5.300000000000002,2.1,15.2,3.2,46.1,66.6,BR_NB,BR_NB_F2
14,14,MM9,0.1161111111111111,0.3333333333333333,0.1656177156177156,15,1.5,0.7,5.6,0.8,59.5,66.6,BR_NB,BR_NB_MM9
15,15,MM6,0.10666666666666666,0.4666666666666666,0.1666200466200466,20,2.0,1.0,7.0,1.0,57.6,66.6,BR_NB,BR_NB_MM6
16,16,MM5,0.10465007215007212,0.36666666666666653,0.1561976911976912,18,1.8,0.8,5.9,1.0,58.9,66.6,BR_NB,BR_NB_MM5
17,17,FP6,0.06805555555555556,0.24166666666666664,0.10170940170940172,14,1.4,0.6,5.2,0.8,60.0,66.6,BR_NB,BR_NB_FP6
18,18,CP4,0.06523809523809522,0.45,0.11215728715728716,12,1.2,0.5,4.8,0.7,60.6,66.6,BR_NB,BR_NB_CP4
19,19,MM1,0.06340659340659341,0.19166666666666665,0.09283613445378153,32,3.2,0.6,7.4,2.6,56.0,66.6,BR_NB,BR_NB_MM1
20,20,T3,0.05593434343434344,0.4400000000000001,0.08760822773045145,20,2.0,0.8,13.7,1.2,50.9,66.6,BR_NB,BR_NB_T3
21,21,main,0.05318606982164927,0.12815190512361524,0.06737851238079941,0,0.0,0.0,0.0,0.0,0.0,0.0,BR_NB,BR_NB_main
22,22,FP1,0.05,0.05,0.05,20,2.0,0.1,1.6,1.9,63.0,66.6,BR_NB,BR_NB_FP1
23,23,FP2,0.046886446886446886,0.175,0.07279411764705881,15,1.5,0.5,8.0,1.0,57.1,66.6,BR_NB,BR_NB_FP2
24,24,I3,0.0325,0.15,0.053333333333333344,10,1.0,0.2,3.5,0.8,62.1,66.6,BR_NB,BR_NB_I3
25,25,NB1,0.02666666666666666,0.075,0.03666666666666667,21,2.1,0.2,5.5,1.9,59.0,66.6,BR_NB,BR_NB_NB1
26,26,F3,0.0225,0.2,0.0404040404040404,9,0.8999999999999999,0.3,6.6,0.6,59.1,66.6,BR_NB,BR_NB_F3
27,27,I5,0.018803418803418803,0.08333333333333333,0.030000000000000006,17,1.7,0.2,5.0,1.5,59.9,66.6,BR_NB,BR_NB_I5
28,28,D2,0.0125,0.1,0.02222222222222222,10,1.0,0.1,4.6,0.9,61.0,66.6,BR_NB,BR_NB_D2
29,29,L1,0.0071428571428571435,0.03333333333333333,0.011764705882352941,23,2.3000000000000003,0.1,5.5,2.2,58.8,66.6,BR_NB,BR_NB_L1
0,0,CM,0.7751298691088303,0.8653783714662046,0.8144114828150618,295,29.5,25.5,7.3,4.0,29.8,66.6,BR_KN,BR_KN_CM
1,1,LI1,0.7369653795816588,0.8321687220216631,0.7803506819754384,348,34.8,29.0,10.3,5.8,21.5,66.6,BR_KN,BR_KN_LI1
2,2,L2,0.4679761904761906,0.3354509379509379,0.37031315090138617,82,8.2,2.6,2.9,5.6,55.5,66.6,BR_KN,BR_KN_L2
3,3,F1,0.3830708180708181,0.20174214674214674,0.2560524321732885,149,14.9,3.2,5.2,11.7,46.5,66.6,BR_KN,BR_KN_F1
4,4,I1,0.37841991341991343,0.2417581330777925,0.2903079379173431,177,17.700000000000006,4.4,6.8,13.3,42.1,66.6,BR_KN,BR_KN_I1
5,5,LI2,0.28869047619047616,0.21357142857142855,0.2365764790764791,72,7.2,1.5,3.2,5.7,56.2,66.6,BR_KN,BR_KN_LI2
6,6,SP1,0.24285714285714285,0.11392357642357642,0.14962406015037594,89,8.9,1.0,3.0,7.9,54.7,66.6,BR_KN,BR_KN_SP1
7,7,L1,0.2,0.075,0.10666666666666666,23,2.3000000000000003,0.2,0.3,2.1,64.0,66.6,BR_KN,BR_KN_L1
8,8,I7,0.05,0.05,0.05,34,3.4,0.1,0.9,3.3,62.3,66.6,BR_KN,BR_KN_I7
9,9,I6,0.05,0.016666666666666666,0.025,40,4.0,0.1,0.9,3.9,61.7,66.6,BR_KN,BR_KN_I6
10,10,CP5,0.05,0.05,0.05,35,3.5,0.1,0.5,3.4,62.6,66.6,BR_KN,BR_KN_CP5
11,11,main,0.038958169781774514,0.032211397665810916,0.033648418190064935,0,0.0,0.0,0.0,0.0,0.0,0.0,BR_KN,BR_KN_main
0,0,CM,0.7895369466443944,0.878893241160948,0.8231185402626888,295,29.5,25.5,6.9,4.0,30.2,66.6,BR_RF,BR_RF_CM
1,1,LI1,0.7327330814142321,0.8068100866630278,0.7659174898476449,348,34.8,27.9,10.2,6.9,21.6,66.6,BR_RF,BR_RF_LI1
2,2,L2,0.5366666666666667,0.2531096681096681,0.3279271218977101,82,8.2,2.1,1.9,6.1,56.5,66.6,BR_RF,BR_RF_L2
3,3,I1,0.3951126651126652,0.2258016978721313,0.2830259137414309,177,17.7,4.0,6.0,13.7,42.9,66.6,BR_RF,BR_RF_I1
4,4,F1,0.3057936507936508,0.1317439504939505,0.17516294406497146,149,14.9,2.0,4.2,12.9,47.5,66.6,BR_RF,BR_RF_F1
5,5,I7,0.3,0.12833333333333333,0.16857142857142854,34,3.4,0.4,0.5,3.0,62.7,66.6,BR_RF,BR_RF_I7
6,6,MM7,0.3,0.125,0.17333333333333334,24,2.4,0.3,0.1,2.1,64.1,66.6,BR_RF,BR_RF_MM7
7,7,SP1,0.26,0.11246753246753248,0.14666666666666667,89,8.9,1.0,2.8,7.9,54.9,66.6,BR_RF,BR_RF_SP1
8,8,MM6,0.2,0.13333333333333333,0.15,20,2.0,0.2,0.1,1.8,64.5,66.6,BR_RF,BR_RF_MM6
9,9,LI2,0.18916666666666665,0.09416666666666666,0.1188605512134924,72,7.2,0.7,2.4,6.5,57.0,66.6,BR_RF,BR_RF_LI2
10,10,F2,0.1,0.025,0.04,53,5.3,0.2,1.1,5.1,60.2,66.6,BR_RF,BR_RF_F2
11,11,FP5,0.1,0.03333333333333333,0.05,34,3.4,0.1,0.7,3.3,62.5,66.6,BR_RF,BR_RF_FP5
12,12,I6,0.05,0.014285714285714284,0.022222222222222227,40,4.0,0.1,0.8,3.9,61.8,66.6,BR_RF,BR_RF_I6
13,13,main,0.0457958029817019,0.031852457609888585,0.034890389374425686,0,0.0,0.0,0.0,0.0,0.0,0.0,BR_RF,BR_RF_main
0,0,LI1,0.4585623336240882,0.7816018908665968,0.5768441557666792,348,34.8,27.8,26.7,7.0,5.1,66.6,CC_NB,CC_NB_LI1
1,1,I1,0.2657168701944822,1.0,0.4192371185718393,177,17.7,17.7,48.9,0.0,0.0,66.6,CC_NB,CC_NB_I1
2,2,SP1,0.13666666666666666,0.09107142857142857,0.10410256410256408,89,8.899999999999997,0.7,1.1,8.2,56.6,66.6,CC_NB,CC_NB_SP1
3,3,L2,0.12793061986785778,0.8800000000000001,0.22270561634422095,82,8.2,7.7,46.6,0.5,11.8,66.6,CC_NB,CC_NB_L2
4,4,F1,0.07121212121212121,0.13333333333333336,0.07242913353449858,149,14.9,1.8,10.3,13.1,41.4,66.6,CC_NB,CC_NB_F1
5,5,CP1,0.050808080808080816,0.2833333333333333,0.07969187675070027,18,1.8,0.5,11.5,1.3,53.3,66.6,CC_NB,CC_NB_CP1
6,6,OTHER,0.034848484848484844,0.15999999999999998,0.045842217484008525,27,2.7,0.4,10.6,2.3,53.3,66.6,CC_NB,CC_NB_OTHER
7,7,NB1,0.023338770156037164,0.65,0.044835162112146935,21,2.1,1.4,46.4,0.7,18.1,66.6,CC_NB,CC_NB_NB1
8,8,I5,0.02009085401554361,0.7,0.03889267310985887,17,1.7,1.2,40.6,0.5,24.3,66.6,CC_NB,CC_NB_I5
9,9,main,0.013445034311970805,0.06491225791510423,0.01833474146438953,0,0.0,0.0,0.0,0.0,0.0,0.0,CC_NB,CC_NB_main
10,10,F2,0.01212121212121212,0.1125,0.016408668730650156,53,5.3,0.3,11.8,5.0,49.5,66.6,CC_NB,CC_NB_F2
11,11,CP2,0.010808780771467337,0.5,0.021027953515502316,12,1.2,0.7,51.2,0.5,14.2,66.6,CC_NB,CC_NB_CP2
12,12,FP5,0.01,0.02,0.01333333333333333,34,3.4,0.1,5.1,3.3,58.1,66.6,CC_NB,CC_NB_FP5
13,13,MM1,0.01,0.025,0.014285714285714287,32,3.2,0.1,1.7,3.1,61.7,66.6,CC_NB,CC_NB_MM1
14,14,I6,0.004545454545454545,0.1,0.008695652173913045,40,4.0,0.3,10.8,3.7,51.8,66.6,CC_NB,CC_NB_I6
15,15,CC1,0.0031318815757279176,0.2,0.006166982922201138,4,0.4,0.2,54.3,0.2,11.9,66.6,CC_NB,CC_NB_CC1
16,16,L1,0.0030303030303030303,0.1,0.005882352941176471,23,2.3000000000000003,0.2,10.8,2.1,53.5,66.6,CC_NB,CC_NB_L1
17,17,I8,0.0030303030303030303,0.1,0.005882352941176471,22,2.2,0.2,10.8,2.0,53.6,66.6,CC_NB,CC_NB_I8
18,18,I7,0.0030303030303030303,0.1,0.005882352941176471,34,3.4000000000000004,0.2,11.9,3.2,51.3,66.6,CC_NB,CC_NB_I7
19,19,MM9,0.0015151515151515152,0.1,0.0029850746268656717,15,1.5,0.1,10.4,1.4,54.7,66.6,CC_NB,CC_NB_MM9
0,0,LI1,0.7818508257392043,0.6884857281916106,0.7300789912471868,348,34.8,24.0,6.6,10.8,25.2,66.6,CC_KN,CC_KN_LI1
1,1,CM,0.7751441689022661,0.8550564017692348,0.8100388919551845,295,29.5,25.2,7.2,4.3,29.9,66.6,CC_KN,CC_KN_CM
2,2,F1,0.4643650793650793,0.180730241980242,0.253423732712285,149,14.9,2.8,3.0,12.1,48.7,66.6,CC_KN,CC_KN_F1
3,3,I1,0.3466666666666667,0.06390344734384983,0.10417970587764637,177,17.7,1.2,2.9,16.5,46.0,66.6,CC_KN,CC_KN_I1
4,4,LI2,0.27876994275971256,0.5663095238095238,0.3616378182482855,72,7.2,4.0,11.2,3.2,48.2,66.6,CC_KN,CC_KN_LI2
5,5,SP1,0.16666666666666669,0.054670329670329684,0.0796897546897547,89,8.9,0.5,1.2,8.4,56.5,66.6,CC_KN,CC_KN_SP1
6,6,L2,0.15833333333333333,0.08011904761904763,0.0957936507936508,82,8.2,0.5,1.5,7.7,56.9,66.6,CC_KN,CC_KN_L2
7,7,F2,0.1,0.016666666666666666,0.028571428571428567,53,5.3,0.1,0.4,5.2,60.9,66.6,CC_KN,CC_KN_F2
8,8,L1,0.05,0.03333333333333333,0.04,23,2.3000000000000003,0.1,0.2,2.2,64.1,66.6,CC_KN,CC_KN_L1
9,9,I6,0.05,0.016666666666666666,0.025,40,4.0,0.1,0.2,3.9,62.4,66.6,CC_KN,CC_KN_I6
10,10,main,0.034105340682074506,0.027483240720973173,0.027187247033284116,0,0.0,0.0,0.0,0.0,0.0,0.0,CC_KN,CC_KN_main
0,0,CM,0.7871856262090662,0.8822150537569542,0.8244585406010563,295,29.5,25.6,7.0,3.9,30.1,66.6,CC_RF,CC_RF_CM
1,1,LI1,0.7806293931539875,0.6729624076682901,0.7188855194831868,348,34.8,23.3,6.5,11.5,25.3,66.6,CC_RF,CC_RF_LI1
2,2,L2,0.5966666666666667,0.1375937950937951,0.21667832167832168,82,8.200000000000001,1.3,0.7,6.9,57.7,66.6,CC_RF,CC_RF_L2
3,3,SP1,0.53,0.10698773448773448,0.15356643356643354,89,8.9,0.9,1.5,8.0,56.2,66.6,CC_RF,CC_RF_SP1
4,4,F1,0.3304761904761905,0.12076812076812075,0.16849787808099825,149,14.9,1.8,3.6,13.1,48.1,66.6,CC_RF,CC_RF_F1
5,5,I1,0.3027777777777778,0.09986633249791144,0.14803074539285382,177,17.7,1.8,3.1,15.9,45.8,66.6,CC_RF,CC_RF_I1
6,6,LI2,0.2603365588659706,0.4671428571428572,0.32504769448705384,72,7.199999999999998,3.4,8.4,3.8,51.0,66.6,CC_RF,CC_RF_LI2
7,7,MM6,0.1,0.03333333333333333,0.05,20,2.0,0.1,0.1,1.9,64.5,66.6,CC_RF,CC_RF_MM6
8,8,F2,0.1,0.014285714285714284,0.025,53,5.3,0.1,0.6,5.2,60.7,66.6,CC_RF,CC_RF_F2
9,9,main,0.04073195928117914,0.027259734935857104,0.02828134551924628,0,0.0,0.0,0.0,0.0,0.0,0.0,CC_RF,CC_RF_main
0,0,LI1,0.8138772764746068,0.6433554755613579,0.7160781666611673,348,34.8,22.4,5.1,12.4,26.7,66.6,OVR_NB,OVR_NB_LI1
1,1,CM,0.7580085210954348,0.9554840273940904,0.8407260454143343,295,29.5,28.0,8.9,1.5,28.2,66.6,OVR_NB,OVR_NB_CM
2,2,I1,0.3789169194007904,0.5987933067964029,0.4603266957555315,177,17.7,10.6,17.5,7.1,31.4,66.6,OVR_NB,OVR_NB_I1
3,3,L2,0.3349581529581529,0.7884018759018758,0.4569870832536539,82,8.200000000000001,6.4,13.0,1.8,45.4,66.6,OVR_NB,OVR_NB_L2
4,4,F1,0.3348636461577638,0.4793951881451882,0.3757997265892003,149,14.9,7.0,15.0,7.9,36.7,66.6,OVR_NB,OVR_NB_F1
5,5,SP1,0.29636105071399194,0.8065068265068265,0.4281212593712594,89,8.9,7.2,17.4,1.7,40.3,66.6,OVR_NB,OVR_NB_SP1
6,6,LI2,0.24824172680866044,0.755,0.3694180980310012,72,7.199999999999998,5.3,11.7,1.9,47.7,66.6,OVR_NB,OVR_NB_LI2
7,7,I7,0.17277978557390322,0.6066666666666666,0.2640768160811236,34,3.4000000000000004,2.2,9.8,1.2,53.4,66.6,OVR_NB,OVR_NB_I7
8,8,I8,0.16444444444444445,0.2533333333333333,0.15564213564213564,22,2.2,0.5,4.8,1.7,59.6,66.6,OVR_NB,OVR_NB_I8
9,9,FP5,0.13674639086403792,0.4566666666666666,0.2064614504488646,34,3.4000000000000004,1.8,10.4,1.6,52.8,66.6,OVR_NB,OVR_NB_FP5
10,10,MM7,0.12955239205239205,0.6166666666666667,0.21086302586302585,24,2.4,1.7,8.9,0.7,55.3,66.6,OVR_NB,OVR_NB_MM7
11,11,CP5,0.12952058906006275,0.62,0.21031884120725147,35,3.5,2.2,14.0,1.3,49.1,66.6,OVR_NB,OVR_NB_CP5
12,12,I6,0.12886788048552755,0.5252380952380953,0.19602827255304034,40,4.0,1.9,12.3,2.1,50.3,66.6,OVR_NB,OVR_NB_I6
13,13,F2,0.122103890261785,0.455952380952381,0.17542244390070474,53,5.300000000000002,2.1,15.2,3.2,46.1,66.6,OVR_NB,OVR_NB_F2
14,14,MM9,0.1161111111111111,0.3333333333333333,0.1656177156177156,15,1.5,0.7,5.6,0.8,59.5,66.6,OVR_NB,OVR_NB_MM9
15,15,MM6,0.10666666666666666,0.4666666666666666,0.1666200466200466,20,2.0,1.0,7.0,1.0,57.6,66.6,OVR_NB,OVR_NB_MM6
16,16,MM5,0.10465007215007212,0.36666666666666653,0.1561976911976912,18,1.8,0.8,5.9,1.0,58.9,66.6,OVR_NB,OVR_NB_MM5
17,17,FP6,0.06805555555555556,0.24166666666666664,0.10170940170940172,14,1.4,0.6,5.2,0.8,60.0,66.6,OVR_NB,OVR_NB_FP6
18,18,CP4,0.06523809523809522,0.45,0.11215728715728716,12,1.2,0.5,4.8,0.7,60.6,66.6,OVR_NB,OVR_NB_CP4
19,19,MM1,0.06340659340659341,0.19166666666666665,0.09283613445378153,32,3.2,0.6,7.4,2.6,56.0,66.6,OVR_NB,OVR_NB_MM1
20,20,T3,0.05593434343434344,0.4400000000000001,0.08760822773045145,20,2.0,0.8,13.7,1.2,50.9,66.6,OVR_NB,OVR_NB_T3
21,21,main,0.05318606982164927,0.12815190512361524,0.06737851238079941,0,0.0,0.0,0.0,0.0,0.0,0.0,OVR_NB,OVR_NB_main
22,22,FP1,0.05,0.05,0.05,20,2.0,0.1,1.6,1.9,63.0,66.6,OVR_NB,OVR_NB_FP1
23,23,FP2,0.046886446886446886,0.175,0.07279411764705881,15,1.5,0.5,8.0,1.0,57.1,66.6,OVR_NB,OVR_NB_FP2
24,24,I3,0.0325,0.15,0.053333333333333344,10,1.0,0.2,3.5,0.8,62.1,66.6,OVR_NB,OVR_NB_I3
25,25,NB1,0.02666666666666666,0.075,0.03666666666666667,21,2.1,0.2,5.5,1.9,59.0,66.6,OVR_NB,OVR_NB_NB1
26,26,F3,0.0225,0.2,0.0404040404040404,9,0.8999999999999999,0.3,6.6,0.6,59.1,66.6,OVR_NB,OVR_NB_F3
27,27,I5,0.018803418803418803,0.08333333333333333,0.030000000000000006,17,1.7,0.2,5.0,1.5,59.9,66.6,OVR_NB,OVR_NB_I5
28,28,D2,0.0125,0.1,0.02222222222222222,10,1.0,0.1,4.6,0.9,61.0,66.6,OVR_NB,OVR_NB_D2
29,29,L1,0.0071428571428571435,0.03333333333333333,0.011764705882352941,23,2.3000000000000003,0.1,5.5,2.2,58.8,66.6,OVR_NB,OVR_NB_L1
0,0,CM,0.7751298691088303,0.8653783714662046,0.8144114828150618,295,29.5,25.5,7.3,4.0,29.8,66.6,OVR_KN,OVR_KN_CM
1,1,LI1,0.7369653795816588,0.8321687220216631,0.7803506819754384,348,34.8,29.0,10.3,5.8,21.5,66.6,OVR_KN,OVR_KN_LI1
2,2,L2,0.4679761904761906,0.3354509379509379,0.37031315090138617,82,8.2,2.6,2.9,5.6,55.5,66.6,OVR_KN,OVR_KN_L2
3,3,F1,0.3830708180708181,0.20174214674214674,0.2560524321732885,149,14.9,3.2,5.2,11.7,46.5,66.6,OVR_KN,OVR_KN_F1
4,4,I1,0.37841991341991343,0.2417581330777925,0.2903079379173431,177,17.700000000000006,4.4,6.8,13.3,42.1,66.6,OVR_KN,OVR_KN_I1
5,5,LI2,0.28869047619047616,0.21357142857142855,0.2365764790764791,72,7.2,1.5,3.2,5.7,56.2,66.6,OVR_KN,OVR_KN_LI2
6,6,SP1,0.24285714285714285,0.11392357642357642,0.14962406015037594,89,8.9,1.0,3.0,7.9,54.7,66.6,OVR_KN,OVR_KN_SP1
7,7,L1,0.2,0.075,0.10666666666666666,23,2.3000000000000003,0.2,0.3,2.1,64.0,66.6,OVR_KN,OVR_KN_L1
8,8,I7,0.05,0.05,0.05,34,3.4,0.1,0.9,3.3,62.3,66.6,OVR_KN,OVR_KN_I7
9,9,I6,0.05,0.016666666666666666,0.025,40,4.0,0.1,0.9,3.9,61.7,66.6,OVR_KN,OVR_KN_I6
10,10,CP5,0.05,0.05,0.05,35,3.5,0.1,0.5,3.4,62.6,66.6,OVR_KN,OVR_KN_CP5
11,11,main,0.038958169781774514,0.032211397665810916,0.033648418190064935,0,0.0,0.0,0.0,0.0,0.0,0.0,OVR_KN,OVR_KN_main
0,0,CM,0.7895369466443944,0.878893241160948,0.8231185402626888,295,29.5,25.5,6.9,4.0,30.2,66.6,OVR_RF,OVR_RF_CM
1,1,LI1,0.7327330814142321,0.8068100866630278,0.7659174898476449,348,34.8,27.9,10.2,6.9,21.6,66.6,OVR_RF,OVR_RF_LI1
2,2,L2,0.5366666666666667,0.2531096681096681,0.3279271218977101,82,8.2,2.1,1.9,6.1,56.5,66.6,OVR_RF,OVR_RF_L2
3,3,I1,0.3951126651126652,0.2258016978721313,0.2830259137414309,177,17.7,4.0,6.0,13.7,42.9,66.6,OVR_RF,OVR_RF_I1
4,4,F1,0.3057936507936508,0.1317439504939505,0.17516294406497146,149,14.9,2.0,4.2,12.9,47.5,66.6,OVR_RF,OVR_RF_F1
5,5,I7,0.3,0.12833333333333333,0.16857142857142854,34,3.4,0.4,0.5,3.0,62.7,66.6,OVR_RF,OVR_RF_I7
6,6,MM7,0.3,0.125,0.17333333333333334,24,2.4,0.3,0.1,2.1,64.1,66.6,OVR_RF,OVR_RF_MM7
7,7,SP1,0.26,0.11246753246753248,0.14666666666666667,89,8.9,1.0,2.8,7.9,54.9,66.6,OVR_RF,OVR_RF_SP1
8,8,MM6,0.2,0.13333333333333333,0.15,20,2.0,0.2,0.1,1.8,64.5,66.6,OVR_RF,OVR_RF_MM6
9,9,LI2,0.18916666666666665,0.09416666666666666,0.1188605512134924,72,7.2,0.7,2.4,6.5,57.0,66.6,OVR_RF,OVR_RF_LI2
10,10,F2,0.1,0.025,0.04,53,5.3,0.2,1.1,5.1,60.2,66.6,OVR_RF,OVR_RF_F2
11,11,FP5,0.1,0.03333333333333333,0.05,34,3.4,0.1,0.7,3.3,62.5,66.6,OVR_RF,OVR_RF_FP5
12,12,I6,0.05,0.014285714285714284,0.022222222222222227,40,4.0,0.1,0.8,3.9,61.8,66.6,OVR_RF,OVR_RF_I6
13,13,main,0.0457958029817019,0.031852457609888585,0.034890389374425686,0,0.0,0.0,0.0,0.0,0.0,0.0,OVR_RF,OVR_RF_main
0,0,CM,0.7523364350771861,0.9915584415584416,0.8528479099838364,295,29.5,29.2,9.5,0.3,27.6,66.6,CNN,CNN_CM
1,1,LI1,0.7012512624083593,0.9603599893305776,0.8084995634927971,348,34.8,33.4,14.3,1.4,17.5,66.6,CNN,CNN_LI1
2,2,F1,0.3795045082047371,0.4714370351870352,0.4061078064961025,149,14.9,7.0,12.3,7.9,39.4,66.6,CNN,CNN_F1
3,3,I1,0.3762846455269317,0.5000381468376824,0.42686294994556,177,17.7,9.0,14.7,8.7,34.2,66.6,CNN,CNN_I1
4,4,L2,0.3401076555023924,0.4489862914862915,0.3523444529326883,82,8.2,3.4,7.1,4.8,51.3,66.6,CNN,CNN_L2
5,5,SP1,0.32996031746031745,0.4759373959373959,0.375592213697073,89,8.899999999999997,4.3,7.3,4.6,50.4,66.6,CNN,CNN_SP1
6,6,LI2,0.322995337995338,0.5,0.3713761697239958,72,7.2,3.7,7.2,3.5,52.2,66.6,CNN,CNN_LI2
7,7,F2,0.2733333333333333,0.11845238095238092,0.15914141414141414,53,5.3,0.7,1.9,4.6,59.4,66.6,CNN,CNN_F2
8,8,L1,0.25,0.1,0.14,23,2.3,0.3,0.3,2.0,64.0,66.6,CNN,CNN_L1
9,9,I7,0.20857142857142855,0.3133333333333333,0.2358752358752359,34,3.4,1.0,3.0,2.4,60.2,66.6,CNN,CNN_I7
10,10,MM4,0.15,0.075,0.1,14,1.4,0.2,1.0,1.2,64.2,66.6,CNN,CNN_MM4
11,11,MM7,0.11428571428571427,0.225,0.13722222222222222,24,2.4,0.5,2.1,1.9,62.1,66.6,CNN,CNN_MM7
12,12,FP5,0.10333333333333332,0.08666666666666667,0.09,34,3.4,0.3,1.5,3.1,61.7,66.6,CNN,CNN_FP5
13,13,I6,0.1,0.014285714285714284,0.025,40,4.0,0.1,0.7,3.9,61.9,66.6,CNN,CNN_I6
14,14,D2,0.1,0.03333333333333333,0.05,10,1.0,0.1,0.1,0.9,65.5,66.6,CNN,CNN_D2
15,15,CC4,0.05,0.1,0.06666666666666668,4,0.4,0.1,0.2,0.3,66.0,66.6,CNN,CNN_CC4
16,16,MM6,0.05,0.03333333333333333,0.04,20,2.0,0.1,0.4,1.9,64.2,66.6,CNN,CNN_MM6
17,17,main,0.04991359109353841,0.059294502461385526,0.05040361941051173,0,0.0,0.0,0.0,0.0,0.0,0.0,CNN,CNN_main
18,18,I8,0.04,0.06666666666666668,0.05,22,2.2,0.2,0.9,2.0,63.5,66.6,CNN,CNN_I8
